STA,ELEV,CHAN,SENSOR,RECORD
ANDB,84.0,BGE,Titan-PH-A,Centaur
ANDB,84.0,BGN,Titan-PH-A,Centaur
ANDB,84.0,BGZ,Titan-PH-A,Centaur
ANDB,84.0,BHE,Trilium120PH-A,Centaur
ANDB,84.0,BHN,Trilium120PH-A,Centaur
ANDB,84.0,BHZ,Trilium120PH-A,Centaur
ANDB,84.0,HGE,Titan-PH-A,Centaur
ANDB,84.0,HGN,Titan-PH-A,Centaur
ANDB,84.0,HGZ,Titan-PH-A,Centaur
ANDB,84.0,HHE,Trilium120PH-A,Centaur
ANDB,84.0,HHN,Trilium120PH-A,Centaur
ANDB,84.0,HHZ,Trilium120PH-A,Centaur
ANDB,84.0,LHE,Trilium120PH-A,Centaur
ANDB,84.0,LHN,Trilium120PH-A,Centaur
ANDB,84.0,LHZ,Trilium120PH-A,Centaur
ANHA,540.0,BGE,Titan-PH-A,Centaur
ANHA,540.0,BGN,Titan-PH-A,Centaur
ANHA,540.0,BGZ,Titan-PH-A,Centaur
ANHA,540.0,HGE,Titan-PH-A,Centaur
ANHA,540.0,HGN,Titan-PH-A,Centaur
ANHA,540.0,HGZ,Titan-PH-A,Centaur
BOHB,342.0,BGE,Titan-PH-A,Centaur
BOHB,342.0,BGN,Titan-PH-A,Centaur
BOHB,342.0,BGZ,Titan-PH-A,Centaur
BOHB,342.0,BHE,Trilium120PH-A,Centaur
BOHB,342.0,BHN,Trilium120PH-A,Centaur
BOHB,342.0,BHZ,Trilium120PH-A,Centaur
BOHB,342.0,HGE,Titan-PH-A,Centaur
BOHB,342.0,HGN,Titan-PH-A,Centaur
BOHB,342.0,HGZ,Titan-PH-A,Centaur
BOHB,342.0,HHE,Trilium120PH-A,Centaur
BOHB,342.0,HHN,Trilium120PH-A,Centaur
BOHB,342.0,HHZ,Trilium120PH-A,Centaur
BOHB,342.0,LHE,Trilium120PH-A,Centaur
BOHB,342.0,LHN,Trilium120PH-A,Centaur
BOHB,342.0,LHZ,Trilium120PH-A,Centaur
CDSA,82.0,BGE,Titan-PH-A,Centaur
CDSA,82.0,BGN,Titan-PH-A,Centaur
CDSA,82.0,BGZ,Titan-PH-A,Centaur
CDSA,82.0,HGE,Titan-PH-A,Centaur
CDSA,82.0,HGN,Titan-PH-A,Centaur
CDSA,82.0,HGZ,Titan-PH-A,Centaur
CE2A,134.0,BGE,ES-DH-A,q330hrs
CE2A,134.0,BGN,ES-DH-A,q330hrs
CE2A,134.0,BGZ,ES-DH-A,q330hrs
CE2A,134.0,HGE,ES-DH-A,q330hrs
CE2A,134.0,HGN,ES-DH-A,q330hrs
CE2A,134.0,HGZ,ES-DH-A,q330hrs
CEBA,59.0,BGE,ES-DH-A,q330sp
CEBA,59.0,BGN,ES-DH-A,q330sp
CEBA,59.0,BGZ,ES-DH-A,q330sp
CEBA,59.0,HGE,ES-DH-A,q330sp
CEBA,59.0,HGN,ES-DH-A,q330sp
CEBA,59.0,HGZ,ES-DH-A,q330sp
CHIA,86.0,BGE,Titan-PH-A,Centaur
CHIA,86.0,BGN,Titan-PH-A,Centaur
CHIA,86.0,BGZ,Titan-PH-A,Centaur
CHIA,86.0,HGE,Titan-PH-A,Centaur
CHIA,86.0,HGN,Titan-PH-A,Centaur
CHIA,86.0,HGZ,Titan-PH-A,Centaur
DAYA,44.0,BGE,Titan-PH-A,Centaur
DAYA,44.0,BGN,Titan-PH-A,Centaur
DAYA,44.0,BGZ,Titan-PH-A,Centaur
DAYA,44.0,HGE,Titan-PH-A,Centaur
DAYA,44.0,HGN,Titan-PH-A,Centaur
DAYA,44.0,HGZ,Titan-PH-A,Centaur
DDCB,81.0,BGE,Titan-PH-A,Centaur
DDCB,81.0,BGN,Titan-PH-A,Centaur
DDCB,81.0,BGZ,Titan-PH-A,Centaur
DDCB,81.0,BHE,Trilium120PH-A,Centaur
DDCB,81.0,BHN,Trilium120PH-A,Centaur
DDCB,81.0,BHZ,Trilium120PH-A,Centaur
DDCB,81.0,HGE,Titan-PH-A,Centaur
DDCB,81.0,HGN,Titan-PH-A,Centaur
DDCB,81.0,HGZ,Titan-PH-A,Centaur
DDCB,81.0,HHE,Trilium120PH-A,Centaur
DDCB,81.0,HHN,Trilium120PH-A,Centaur
DDCB,81.0,HHZ,Trilium120PH-A,Centaur
DDCB,81.0,LHE,Trilium120PH-A,Centaur
DDCB,81.0,LHN,Trilium120PH-A,Centaur
DDCB,81.0,LHZ,Trilium120PH-A,Centaur
GEJA,24.0,BGE,Titan-PH-A,Centaur
GEJA,24.0,BGN,Titan-PH-A,Centaur
GEJA,24.0,BGZ,Titan-PH-A,Centaur
GEJA,24.0,HGE,Titan-PH-A,Centaur
GEJA,24.0,HGN,Titan-PH-A,Centaur
GEJA,24.0,HGZ,Titan-PH-A,Centaur
GIJA,16.0,BGE,Titan-PH-A,Centaur
GIJA,16.0,BGN,Titan-PH-A,Centaur
GIJA,16.0,BGZ,Titan-PH-A,Centaur
GIJA,16.0,HGE,Titan-PH-A,Centaur
GIJA,16.0,HGN,Titan-PH-A,Centaur
GIJA,16.0,HGZ,Titan-PH-A,Centaur
GOBA,45.0,BGE,Titan-PH-A,Centaur
GOBA,45.0,BGN,Titan-PH-A,Centaur
GOBA,45.0,BGZ,Titan-PH-A,Centaur
GOBA,45.0,HGE,Titan-PH-A,Centaur
GOBA,45.0,HGN,Titan-PH-A,Centaur
GOBA,45.0,HGZ,Titan-PH-A,Centaur
GOSF,20.0,BGE,ES-T-A,q330hrs
GOSF,20.0,BGN,ES-T-A,q330hrs
GOSF,20.0,BGZ,ES-T-A,q330hrs
GOSF,20.0,ELE,CMG-40T-1-B,q330hrs
GOSF,20.0,ELN,CMG-40T-1-B,q330hrs
GOSF,20.0,ELZ,CMG-40T-1-B,q330hrs
GOSF,20.0,HGE,ES-T-A,q330hrs
GOSF,20.0,HGN,ES-T-A,q330hrs
GOSF,20.0,HGZ,ES-T-A,q330hrs
GOSF,20.0,SLE,CMG-40T-1-B,q330hrs
GOSF,20.0,SLN,CMG-40T-1-B,q330hrs
GOSF,20.0,SLZ,CMG-40T-1-B,q330hrs
HA2B,40.0,BGE,Titan-PH-A,Centaur
HA2B,40.0,BGN,Titan-PH-A,Centaur
HA2B,40.0,BGZ,Titan-PH-A,Centaur
HA2B,40.0,BHE,Trilium120PH-A,Centaur
HA2B,40.0,BHN,Trilium120PH-A,Centaur
HA2B,40.0,BHZ,Trilium120PH-A,Centaur
HA2B,40.0,HGE,Titan-PH-A,Centaur
HA2B,40.0,HGN,Titan-PH-A,Centaur
HA2B,40.0,HGZ,Titan-PH-A,Centaur
HA2B,40.0,HHE,Trilium120PH-A,Centaur
